#ID,Description,Platforms,Command1,Expecited1,Command2,Expected2,Command3,Expected3,Command4,Expected4,,,,
156,Verify domain join to Computers OU in PARENT4.LIKEWISEQA.COM,all,domainjoin(/opt/likewise/bin/domainjoin-cli join --ou computers parent4.likewiseqa.com administrator || centeris),SUCCESS,,,,,,,,,,
157,Verify Domain join Query,all,/opt/likewise/bin/domainjoin-cli query,"CN=Computers,DC=parent4,DC=likewiseqa,DC=com",,,,,,,,,,
158,Verify Parent4 Domain SSH Logon,all,userlogin(parent4\\defuser||span1234),,echo $SHELL,/bin/bash,id,uid=901776474(PARENT4\defuser) gid=901775873(PARENT4\domain^users),pwd,/home/PARENT4/defuser,groups,PARENT4\domain^users,passwd(span1234||span1234),Success
159,Verify Parent4 Domain SSH password change,all,userlogin(parent4\\defuser||span1234),,passwd(span1234||span1234),Success,,,,,,,,
160,Verify ssh with local user credentials,all,userlogin(systemuser||span1234),,pwd,/home/systemuser,,,,,,,,
161,Leave domain,all,domainleave(/opt/likewise/bin/domainjoin-cli leave),SUCCESS,,,,,,,,,,
162,Verify domain join to BVTOU in PARENT4.LIKEWISEQA.COM,all,domainjoin(/opt/likewise/bin/domainjoin-cli join --ou bvtou parent4.likewiseqa.com administrator || centeris),SUCCESS,,,,,,,,,,
163,Verify Domain join Query,all,/opt/likewise/bin/domainjoin-cli query,"OU=BVTOU,DC=parent4,DC=likewiseqa,DC=com",,,,,,,,,,
164,Verify Parent4 Domain (one-way trust) SSH Logon,all,userlogin(parent4\\bvtuser||span1234),,echo $SHELL,/bin/bash,id,uid=901776470(PARENT4\bvtuser) gid=901776473(PARENT4\bvtgroup),pwd,/home/PARENT4/bvtuser,groups,PARENT4\bvtgroup PARENT4\domain^users,passwd(span1234||span1234),Success
165,Verify Parent4 Domain (one-way trust) SSH Logon password change,all,userlogin(parent4\\bvtuser||span1234),,passwd(span1234||span1234),Success,,,,,,,,
166,Leave domain,all,domainleave(/opt/likewise/bin/domainjoin-cli leave),SUCCESS,,,,,,,,,,
167,Verifying domain is alive,all,ping -c 1 unprv.likewise.com,0% packet loss & not(100% packet loss),,,,,,,,,,
168,Verify domain join to Computers OU in UNPRV.LIKEWISE.COM,all,domainjoin(/opt/likewise/bin/domainjoin-cli join --ou computers unprv.likewise.com administrator || centeris),SUCCESS,,,,,,,,,,
169,Verify Domain join Query,all,/opt/likewise/bin/domainjoin-cli query,"CN=Computers,DC=unprv,DC=likewise,DC=com",,,,,,,,,,
170,Verify Unprovisioned Domain SSH Logon,all,userlogin(unprv\\defuser||span1234),,echo $SHELL,/bin/sh,id,uid=987235411(UNPRV\defuser) gid=987234817(UNPRV\domain^users),pwd,/home/local/UNPRV/defuser,groups,UNPRV\domain^users,passwd(span1234||span1234),Success
171,Verify Unprovisioned Domain SSH Logon password change,all,userlogin(unprv\\defuser||span1234),,passwd(span1234||span1234),Success,,,,,,,,
172,Verify ssh with local user credentials,all,userlogin(systemuser||span1234),,pwd,/home/systemuser,,,,,,,,
173,Leave domain,all,domainleave(/opt/likewise/bin/domainjoin-cli leave),SUCCESS,,,,,,,,,,
174,Verify domain join to BVTOU OU in UNPRV.LIKEWISE.COM,all,domainjoin(/opt/likewise/bin/domainjoin-cli join --ou bvtou unprv.likewise.com administrator || centeris),SUCCESS,,,,,,,,,,
175,Verify Domain join Query,all,/opt/likewise/bin/domainjoin-cli query,"OU=BVTOU,DC=unprv,DC=likewise,DC=com",,,,,,,,,,
176,Verify Unprovisioned Domain SSH Logon,all,userlogin(unprv\\bvtuser||span1234),,echo $SHELL,/bin/sh,id,uid=987235407(UNPRV\bvtuser) gid=987234817(UNPRV\domain^users),pwd,/home/local/UNPRV/bvtuser,groups,UNPRV\domain^users UNPRV\unprvgrp,passwd(span1234||span1234),Success
177,Verify Unprovisioned Domain SSH Logon password change,all,userlogin(unprv\\bvtuser||span1234),,passwd(span1234||span1234),Success,,,,,,,,
178,Leave domain,all,domainleave(/opt/likewise/bin/domainjoin-cli leave),SUCCESS,,,,,,,,,,
179,Verifying domain is alive,all,ping -c 1 schema.likewise.com,0% packet loss & not(100% packet loss),,,,,,,,,,
180,Verify domain join to Computers OU in SCHEMA.LIKEWISE.COM,all,domainjoin(/opt/likewise/bin/domainjoin-cli join --ou computers schema.likewise.com administrator || centeris),SUCCESS,,,,,,,,,,
181,Verify Domain join Query,all,/opt/likewise/bin/domainjoin-cli query,"CN=Computers,DC=schema,DC=likewise,DC=com",,,,,,,,,,
182,Verify Schema Domain SSH Logon,all,userlogin(schema\\defuser||span1234),,echo $SHELL,/bin/bash,id,uid=1162871890(SCHEMA\defuser) gid=1162871297(SCHEMA\domain^users),pwd,/home/SCHEMA/defuser,groups,SCHEMA\domain^users,passwd(span1234||span1234),Success
183,Verify Schema Domain SSH password change,all,userlogin(schema\\defuser||span1234),,passwd(span1234||span1234),Success,,,,,,,,
184,Verify ssh with local user credentials,all,userlogin(systemuser||span1234),,pwd,/home/systemuser,,,,,,,,
185,Leave domain,all,domainleave(/opt/likewise/bin/domainjoin-cli leave),SUCCESS,,,,,,,,,,
186,Verify domain join to BVTOU in SCHEMA.LIKEWISE.COM,all,domainjoin(/opt/likewise/bin/domainjoin-cli join --ou bvtou schema.likewise.com administrator || centeris),SUCCESS,,,,,,,,,,
187,Verify Domain join Query,all,/opt/likewise/bin/domainjoin-cli query,"OU=BVTOU,DC=schema,DC=likewise,DC=com",,,,,,,,,,
188,Verify Schema Domain  SSH Logon,all,userlogin(schema\\nduser||span1234),,echo $SHELL,/bin/bash,id,uid=1162871891(SCHEMA\nduser) gid=1162871297(SCHEMA\domain^users),pwd,/home/SCHEMA/nduser,groups,SCHEMA\domain^users SCHEMA\schemagrp,passwd(span1234||span1234),Success
189,Verify Schema Domain  SSH Logon password change,all,userlogin(schema\\nduser||span1234),,passwd(span1234||span1234),Success,,,,,,,,
190,Verify Parent2 Domain (two-way trust) SSH Logon,all,userlogin(parent2\\nduser||span1234),,echo $SHELL,/bin/bash,id,uid=1137181779(PARENT2\nduser) gid=1137181780(PARENT2\parent2gp),pwd,/home/PARENT2/nduser,groups,PARENT2\parent2gp,passwd(span1234||span1234),Success
191,Verify Parent2 Domain (two-way trust) SSH Logon password change,all,userlogin(parent2\\nduser||span1234),,passwd(span1234||span1234),Success,,,,,,,,
192,Leave domain,all,domainleave(/opt/likewise/bin/domainjoin-cli leave),SUCCESS,,,,,,,,,,
193,remove home directory,all,rm -rf /home/CHILDA,,,,,,,,,,,
#194,reboot check,all,reboot,reboot NOW!,,,,,,,,,,
#195,Verify console login,all,systemlogin(10),,,,,,,,,,,
196,Verify Schema Domain  SSH Logon,all,userlogin(schema\\nduser||span1234),,echo $SHELL,/bin/bash,id,uid=1162871891(SCHEMA\nduser) gid=1162871297(SCHEMA\domain^users),pwd,/home/SCHEMA/nduser,groups,SCHEMA\domain^users SCHEMA\schemagrp,passwd(span1234||span1234),Success
197,SSH into box with local user credentials,all,userlogin(systemuser||span1234),,pwd,/home/systemuser,,,,,,,,
198,Leave domain,all,domainleave(/opt/likewise/bin/domainjoin-cli leave administrator centeris),SUCCESS,,,,,,,,,,
199,Verify that domain users can no longer be resolved,all,id schema\\nduser,No such user,,,,,,,,,,
200,Verify lsassd is not running,"sunos,linux",/etc/init.d/lsassd status,running,,,,,,,,,,
201,Adding user,all,useradd(localuser||span1234),successfully|Password changed,,,,,,,,,,
202,Verify Uninstall,linux,uninstall(),Success,,,,,,,,,,
203,Verify nsswitch.conf file,all,cat /etc/nsswitch.conf,not(lsass),,,,,,,,,,
204,Verify ssh_config file,all,cat /etc/ssh/ssh_config,not(GSSAPIDelegateCredentials yes),,,,,,,,,,
205,Verify sshd_config file,all,cat /etc/ssh/sshd_config,ChallengeResponseAuthentication no & not(KbdInteractiveAuthentication,,,,,,,,,,
206,Verify /opt/likewise tree is removed,all,ls /opt/,not(likewise),,,,,,,,,,
207,Verify pam_lwidentity.conf file is removed,all,ls /etc/security/,not(pam_lwidentity.conf),,,,,,,,,,
208,Verify /etc/likewise tree is removed,all,ls /etc/,likewise,,,,,,,,,,
209,Verify likewise daemon processes are removed from /etc/init.d,all,ls /etc/init.d/,not(lsassd) & not(lwiod) & not(lwregd) & not(netlogond) & not(dcerpcd) & not(eventlogd) & not(eventfwdd) & not(gpagentd) & not(lwsmd),,,,,,,,,,
210,Verify /var/lib/likewise tree is removed,all,ls /var/lib/,likewise,,,,,,,,,,
211,Verify local user login,all,userlogin(localuser||span1234),,pwd,/home/localuser,,,,,,,,
212,Remove likewise build,all,rm -rf /root/Likewise*,,,,,,,,,,,
